O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Category,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
19-2041.01,Climate Change Policy Analysts,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,56.52,23,,,,,,08/2021,Occupational Expert
19-2041.01,Climate Change Policy Analysts,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,43.48,23,,,,,,08/2021,Occupational Expert
19-2041.02,Environmental Restoration Planners,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.48,21,,,,,,08/2021,Occupational Expert
19-2041.02,Environmental Restoration Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,21,,,,,,08/2021,Occupational Expert
19-2041.02,Environmental Restoration Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,52.38,21,,,,,,08/2021,Occupational Expert
19-2041.02,Environmental Restoration Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,47.62,21,,,,,,08/2021,Occupational Expert
19-2041.03,Industrial Ecologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.48,23,,,,,,08/2021,Occupational Expert
19-2041.03,Industrial Ecologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,4.35,23,,,,,,08/2021,Occupational Expert
19-2041.03,Industrial Ecologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,43.48,23,,,,,,08/2021,Occupational Expert
19-2041.03,Industrial Ecologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,52.17,23,,,,,,08/2021,Occupational Expert
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.69,32,,,,,,08/2020,Occupational Expert
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,32,,,,,,08/2020,Occupational Expert
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,31.25,32,,,,,,08/2020,Occupational Expert
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,68.75,32,,,,,,08/2020,Occupational Expert
19-2043.00,Hydrologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.35,23,,,,,,08/2018,Occupational Expert
19-2043.00,Hydrologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,23,,,,,,08/2018,Occupational Expert
19-2043.00,Hydrologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,65.22,23,,,,,,08/2018,Occupational Expert
19-2043.00,Hydrologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,34.78,23,,,,,,08/2018,Occupational Expert
19-2099.01,Remote Sensing Scientists and Technologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.16,25,,,,,,08/2023,Occupational Expert
19-2099.01,Remote Sensing Scientists and Technologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,25,,,,,,08/2023,Occupational Expert
19-2099.01,Remote Sensing Scientists and Technologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,84.00,25,,,,,,08/2023,Occupational Expert
19-2099.01,Remote Sensing Scientists and Technologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,16.00,25,,,,,,08/2023,Occupational Expert
19-3011.00,Economists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.88,24,,,,,,08/2024,Occupational Expert
19-3011.00,Economists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,24,,,,,,08/2024,Occupational Expert
19-3011.00,Economists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,12.50,24,,,,,,08/2024,Occupational Expert
19-3011.00,Economists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,87.50,24,,,,,,08/2024,Occupational Expert
19-3011.01,Environmental Economists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.56,27,,,,,,08/2020,Occupational Expert
19-3011.01,Environmental Economists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,27,,,,,,08/2020,Occupational Expert
19-3011.01,Environmental Economists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,44.44,27,,,,,,08/2020,Occupational Expert
19-3011.01,Environmental Economists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,55.56,27,,,,,,08/2020,Occupational Expert
19-3022.00,Survey Researchers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.19,26,,,,,,08/2025,Occupational Expert
19-3022.00,Survey Researchers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.85,26,,,,,,08/2025,Occupational Expert
19-3022.00,Survey Researchers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,73.08,26,,,,,,08/2025,Occupational Expert
19-3022.00,Survey Researchers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,23.08,26,,,,,,08/2025,Occupational Expert
19-3032.00,Industrial-Organizational Psychologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.65,26,,,,,,08/2023,Occupational Expert
19-3032.00,Industrial-Organizational Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,26,,,,,,08/2023,Occupational Expert
19-3032.00,Industrial-Organizational Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,34.62,26,,,,,,08/2023,Occupational Expert
19-3032.00,Industrial-Organizational Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,65.38,26,,,,,,08/2023,Occupational Expert
19-3033.00,Clinical and Counseling Psychologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.36,25,,,,,,08/2024,Occupational Expert
19-3033.00,Clinical and Counseling Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,25,,,,,,08/2024,Occupational Expert
19-3033.00,Clinical and Counseling Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,64.00,25,,,,,,08/2024,Occupational Expert
19-3033.00,Clinical and Counseling Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,36.00,25,,,,,,08/2024,Occupational Expert
19-3034.00,School Psychologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.68,25,0.0973,2.4816,2.8833,N,,08/2019,Incumbent
19-3034.00,School Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,4.56,25,5.0796,0.4274,34.7071,N,,08/2019,Incumbent
19-3034.00,School Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,22.63,25,6.2782,12.2488,38.0096,N,,08/2019,Incumbent
19-3034.00,School Psychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,72.81,25,6.4233,57.8170,83.9495,N,,08/2019,Incumbent
19-3039.02,Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.80,25,,,,,,08/2024,Occupational Expert
19-3039.02,Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,25,,,,,,08/2024,Occupational Expert
19-3039.02,Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,20.00,25,,,,,,08/2024,Occupational Expert
19-3039.02,Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,80.00,25,,,,,,08/2024,Occupational Expert
19-3039.03,Clinical Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.88,24,,,,,,08/2024,Occupational Expert
19-3039.03,Clinical Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,24,,,,,,08/2024,Occupational Expert
19-3039.03,Clinical Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,12.50,24,,,,,,08/2024,Occupational Expert
19-3039.03,Clinical Neuropsychologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,87.50,24,,,,,,08/2024,Occupational Expert
19-3041.00,Sociologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.65,20,,,,,,08/2023,Occupational Expert
19-3041.00,Sociologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,20,,,,,,08/2023,Occupational Expert
19-3041.00,Sociologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,35.00,20,,,,,,08/2023,Occupational Expert
19-3041.00,Sociologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,65.00,20,,,,,,08/2023,Occupational Expert
19-3051.00,Urban and Regional Planners,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.46,24,,,,,,08/2021,Occupational Expert
19-3051.00,Urban and Regional Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,24,,,,,,08/2021,Occupational Expert
19-3051.00,Urban and Regional Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,54.17,24,,,,,,08/2021,Occupational Expert
19-3051.00,Urban and Regional Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,45.83,24,,,,,,08/2021,Occupational Expert
19-3091.00,Anthropologists and Archeologists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.65,20,,,,,,08/2024,Occupational Expert
19-3091.00,Anthropologists and Archeologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,5.00,20,,,,,,08/2024,Occupational Expert
19-3091.00,Anthropologists and Archeologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,25.00,20,,,,,,08/2024,Occupational Expert
19-3091.00,Anthropologists and Archeologists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,70.00,20,,,,,,08/2024,Occupational Expert
19-3092.00,Geographers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.55,20,,,,,,08/2023,Occupational Expert
19-3092.00,Geographers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,20,,,,,,08/2023,Occupational Expert
19-3092.00,Geographers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,45.00,20,,,,,,08/2023,Occupational Expert
19-3092.00,Geographers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,55.00,20,,,,,,08/2023,Occupational Expert
19-3093.00,Historians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,1.68,21,0.2208,1.2235,2.1447,N,,08/2025,Incumbent
19-3093.00,Historians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,44.07,21,18.3776,14.2646,78.8687,Y,,08/2025,Incumbent
19-3093.00,Historians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,43.44,21,16.9917,15.3632,76.4725,N,,08/2025,Incumbent
19-3093.00,Historians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,12.49,21,7.0997,3.5479,35.6211,N,,08/2025,Incumbent
19-3094.00,Political Scientists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.73,26,,,,,,08/2022,Occupational Expert
19-3094.00,Political Scientists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.85,26,,,,,,08/2022,Occupational Expert
19-3094.00,Political Scientists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,19.23,26,,,,,,08/2022,Occupational Expert
19-3094.00,Political Scientists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,76.92,26,,,,,,08/2022,Occupational Expert
19-3099.01,Transportation Planners,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.25,20,,,,,,08/2023,Occupational Expert
19-3099.01,Transportation Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,10.00,20,,,,,,08/2023,Occupational Expert
19-3099.01,Transportation Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,55.00,20,,,,,,08/2023,Occupational Expert
19-3099.01,Transportation Planners,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,35.00,20,,,,,,08/2023,Occupational Expert
19-4012.00,Agricultural Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.13,19,0.1769,1.7579,2.5013,N,,08/2024,Incumbent
19-4012.00,Agricultural Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,14.69,19,10.8277,2.7270,51.4013,N,,08/2024,Incumbent
19-4012.00,Agricultural Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,57.66,19,8.1750,40.2596,73.3484,N,,08/2024,Incumbent
19-4012.00,Agricultural Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,27.65,19,8.5268,13.5003,48.3403,N,,08/2024,Incumbent
19-4012.01,Precision Agriculture Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.91,23,,,,,,08/2023,Occupational Expert
19-4012.01,Precision Agriculture Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,23,,,,,,08/2023,Occupational Expert
19-4012.01,Precision Agriculture Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,8.70,23,,,,,,08/2023,Occupational Expert
19-4012.01,Precision Agriculture Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,91.30,23,,,,,,08/2023,Occupational Expert
19-4013.00,Food Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.35,17,0.1200,2.0972,2.6060,N,,08/2023,Incumbent
19-4013.00,Food Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,17,0.0000,,,N,,08/2023,Incumbent
19-4013.00,Food Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,64.84,17,12.0017,37.6593,84.9151,N,,08/2023,Incumbent
19-4013.00,Food Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,35.16,17,12.0017,15.0849,62.3407,N,,08/2023,Incumbent
19-4021.00,Biological Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,1.93,25,0.2319,1.4477,2.4050,N,,07/2017,Incumbent
19-4021.00,Biological Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,26.80,25,18.7973,4.8235,72.5679,Y,,07/2017,Incumbent
19-4021.00,Biological Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,53.76,25,22.0952,15.6612,87.9246,Y,,07/2017,Incumbent
19-4021.00,Biological Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,19.43,25,12.6356,4.3624,56.0586,N,,07/2017,Incumbent
19-4031.00,Chemical Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.36,17,0.2010,1.9389,2.7910,N,,08/2021,Incumbent
19-4031.00,Chemical Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,17,0.0000,,,N,,08/2021,Incumbent
19-4031.00,Chemical Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,63.50,17,20.0980,21.6797,91.6231,Y,,08/2021,Incumbent
19-4031.00,Chemical Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,36.50,17,20.0980,8.3769,78.3203,Y,,08/2021,Incumbent
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.00,22,,,,,,08/2023,Occupational Expert
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,4.55,22,,,,,,08/2023,Occupational Expert
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,90.91,22,,,,,,08/2023,Occupational Expert
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,4.55,22,,,,,,08/2023,Occupational Expert
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.30,,,,,N,,11/2020,Analyst - Transition
19-4051.00,Nuclear Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.58,,,,,N,,11/2020,Analyst - Transition
19-4051.02,Nuclear Monitoring Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.66,37,0.0784,2.5003,2.8181,N,,07/2014,Incumbent
19-4051.02,Nuclear Monitoring Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,37,0.0000,,,N,,07/2014,Incumbent
19-4051.02,Nuclear Monitoring Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,34.08,37,7.8352,20.3111,51.1911,N,,07/2014,Incumbent
19-4051.02,Nuclear Monitoring Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,65.92,37,7.8352,48.8089,79.6889,N,,07/2014,Incumbent
19-4061.00,Social Science Research Assistants,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,1.79,28,0.1256,1.5340,2.0495,N,,08/2019,Incumbent
19-4061.00,Social Science Research Assistants,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,33.99,28,9.2774,18.0633,54.6048,N,,08/2019,Incumbent
19-4061.00,Social Science Research Assistants,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,52.84,28,10.7034,31.7002,73.0081,N,,08/2019,Incumbent
19-4061.00,Social Science Research Assistants,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,13.17,28,7.0796,4.0835,35.0747,N,,08/2019,Incumbent
19-4071.00,Forest and Conservation Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.47,31,0.1259,2.2160,2.7303,N,,08/2018,Incumbent
19-4071.00,Forest and Conservation Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,31,0.0000,,,N,,08/2018,Incumbent
19-4071.00,Forest and Conservation Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,52.68,31,12.5909,28.4129,75.7496,N,,08/2018,Incumbent
19-4071.00,Forest and Conservation Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,47.32,31,12.5909,24.2504,71.5871,N,,08/2018,Incumbent
19-4092.00,Forensic Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.42,28,0.1471,2.1192,2.7228,N,,08/2023,Incumbent
19-4092.00,Forensic Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,5.85,28,4.8705,1.0041,27.5988,N,,08/2023,Incumbent
19-4092.00,Forensic Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,46.20,28,16.1500,18.4571,76.5077,N,,08/2023,Incumbent
19-4092.00,Forensic Science Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,47.95,28,14.6580,21.6349,75.4553,N,,08/2023,Incumbent
19-4099.01,Quality Control Analysts,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.64,17,0.1300,2.3621,2.9132,N,,08/2020,Incumbent
19-4099.01,Quality Control Analysts,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,17,0.0000,,,N,,08/2020,Incumbent
19-4099.01,Quality Control Analysts,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,36.24,17,12.9996,14.7068,65.1942,N,,08/2020,Incumbent
19-4099.01,Quality Control Analysts,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,63.76,17,12.9996,34.8058,85.2932,N,,08/2020,Incumbent
19-4099.03,Remote Sensing Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.30,19,0.1897,1.9044,2.7015,N,,07/2012,Incumbent
19-4099.03,Remote Sensing Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,10.12,19,6.5556,2.4168,33.8548,N,,07/2012,Incumbent
19-4099.03,Remote Sensing Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,49.47,19,18.0439,17.6839,81.6848,Y,,07/2012,Incumbent
19-4099.03,Remote Sensing Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,40.42,19,17.3142,13.0252,75.4423,N,,07/2012,Incumbent
19-5011.00,Occupational Health and Safety Specialists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.48,23,,,,,,08/2024,Occupational Expert
19-5011.00,Occupational Health and Safety Specialists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,23,,,,,,08/2024,Occupational Expert
19-5011.00,Occupational Health and Safety Specialists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,52.17,23,,,,,,08/2024,Occupational Expert
19-5011.00,Occupational Health and Safety Specialists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,47.83,23,,,,,,08/2024,Occupational Expert
19-5012.00,Occupational Health and Safety Technicians,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.71,21,,,,,,08/2024,Occupational Expert
19-5012.00,Occupational Health and Safety Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,21,,,,,,08/2024,Occupational Expert
19-5012.00,Occupational Health and Safety Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,28.57,21,,,,,,08/2024,Occupational Expert
19-5012.00,Occupational Health and Safety Technicians,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,71.43,21,,,,,,08/2024,Occupational Expert
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,1.59,19,0.1337,1.3138,1.8755,N,,08/2021,Incumbent
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,44.43,19,13.3815,20.3829,71.3991,N,,08/2021,Incumbent
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,51.68,19,14.0928,24.6288,77.7784,N,,08/2021,Incumbent
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,3.89,19,3.0950,0.7083,18.7149,N,,08/2021,Incumbent
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.36,30,0.1173,2.1210,2.6006,N,,08/2024,Incumbent
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.73,30,2.5828,0.8822,14.4336,N,,08/2024,Incumbent
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,56.46,30,11.8781,32.5538,77.6957,N,,08/2024,Incumbent
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,39.81,30,11.5164,19.8404,63.8676,N,,08/2024,Incumbent
21-1013.00,Marriage and Family Therapists,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,1.77,24,0.1620,1.4367,2.1070,N,,08/2020,Incumbent
21-1013.00,Marriage and Family Therapists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,32.75,24,14.3645,11.2187,65.2427,N,,08/2020,Incumbent
21-1013.00,Marriage and Family Therapists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,57.31,24,15.0499,27.3287,82.7362,N,,08/2020,Incumbent
21-1013.00,Marriage and Family Therapists,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,9.94,24,6.1747,2.5800,31.4969,N,,08/2020,Incumbent
21-1014.00,Mental Health Counselors,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.14,28,,,,,,08/2025,Occupational Expert
21-1014.00,Mental Health Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,14.29,28,,,,,,08/2025,Occupational Expert
21-1014.00,Mental Health Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,57.14,28,,,,,,08/2025,Occupational Expert
21-1014.00,Mental Health Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,28.57,28,,,,,,08/2025,Occupational Expert
21-1015.00,Rehabilitation Counselors,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,1.97,33,0.1140,1.7365,2.2009,N,,08/2020,Incumbent
21-1015.00,Rehabilitation Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,21.83,33,9.0298,8.6767,45.0706,N,,08/2020,Incumbent
21-1015.00,Rehabilitation Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,59.48,33,11.0352,36.6115,78.8569,N,,08/2020,Incumbent
21-1015.00,Rehabilitation Counselors,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,18.70,33,6.6593,8.6102,35.9511,N,,08/2020,Incumbent
21-1021.00,"Child, Family, and School Social Workers",4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.42,20,0.1474,2.1142,2.7314,N,,08/2018,Incumbent
21-1021.00,"Child, Family, and School Social Workers",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.25,20,0.2629,0.0267,2.2542,N,,08/2018,Incumbent
21-1021.00,"Child, Family, and School Social Workers",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,57.22,20,14.7883,27.4189,82.5708,N,,08/2018,Incumbent
21-1021.00,"Child, Family, and School Social Workers",4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,42.53,20,14.7642,17.2867,72.3757,N,,08/2018,Incumbent
21-1022.00,Healthcare Social Workers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.42,26,,,,,,08/2021,Occupational Expert
21-1022.00,Healthcare Social Workers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.85,26,,,,,,08/2021,Occupational Expert
